Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar,Delta,Delta_Price
2016-10-06 00:00:00+00:00,184.252,25.661,1.96,0.7770000000000004,27.621,156.631,121702287.00000006
2016-10-07 00:00:00+00:00,180.295,2.116,2.1,0.9130000000000004,4.215999999999999,176.07899999999998,160760127.00000003
2016-10-08 00:00:00+00:00,156.278,3.855,2.152,0.8150000000000004,6.007000000000001,150.271,122470865.00000004
2016-10-09 00:00:00+00:00,143.55800000000002,4.889,2.353,0.8160000000000004,7.242000000000001,136.31600000000003,111233856.00000007
2016-10-10 00:00:00+00:00,184.765,6.083,2.249,1.072,8.332,176.433,189136176.0
2016-10-11 00:00:00+00:00,188.182,8.19,1.6409999999999998,0.9400000000000004,9.831,178.351,167649940.00000006
2016-10-12 00:00:00+00:00,190.449,26.044,2.0380000000000003,0.9120000000000004,28.082,162.36700000000002,148078704.00000006
2016-10-13 00:00:00+00:00,188.184,13.037,2.558,0.7750000000000004,15.595,172.589,133756475.00000004
2016-10-14 00:00:00+00:00,181.261,42.779,2.386,0.7410000000000003,45.165,136.096,100847136.00000004
2016-10-15 00:00:00+00:00,153.17699999999996,17.838000000000005,1.924,0.7830000000000004,19.762000000000004,133.41499999999996,104463945.00000003
2016-10-16 00:00:00+00:00,139.52999999999997,6.168000000000002,2.4719999999999995,0.7910000000000005,8.64,130.89,103533990.00000004
2016-10-17 00:00:00+00:00,183.90900000000005,9.894,1.996,0.9930000000000004,11.89,172.01900000000006,170814867.00000015
2016-10-18 00:00:00+00:00,187.198,9.653,1.4620000000000002,0.9850000000000004,11.114999999999998,176.083,173441755.0000001
2016-10-19 00:00:00+00:00,188.684,4.731,1.54,0.9850000000000004,6.271,182.413,179676805.0000001
2016-10-20 00:00:00+00:00,189.06500000000003,0.9540000000000004,1.388,1.0570000000000002,2.342,186.723,197366211.00000006
2016-10-21 00:00:00+00:00,185.162,1.817,1.4660000000000002,0.9870000000000004,3.283,181.87900000000002,179514573.0000001
2016-10-22 00:00:00+00:00,155.46399999999997,11.342,2.188,0.9280000000000004,13.53,141.93399999999997,131714752.00000003
2016-10-23 00:00:00+00:00,145.533,21.302000000000003,1.661,0.8610000000000003,22.963000000000005,122.56999999999998,105532770.00000003
2016-10-24 00:00:00+00:00,181.528,11.572,2.004,0.9480000000000004,13.576000000000002,167.952,159218496.00000006
2016-10-25 00:00:00+00:00,183.055,8.133000000000001,1.868,1.228,10.001,173.054,212510312.0
2016-10-26 00:00:00+00:00,150.911,11.357,1.393,1.0570000000000004,12.750000000000002,138.161,146036177.00000006
2016-10-27 00:00:00+00:00,181.113,11.357,1.393,0.9510000000000004,12.750000000000002,168.363,160113213.00000006
2016-10-28 00:00:00+00:00,178.421,11.357,1.393,0.8440000000000004,12.750000000000002,165.671,139826324.00000006
2016-10-29 00:00:00+00:00,154.569,29.192,1.869,0.8160000000000004,31.061,123.50799999999998,100782528.00000003
2016-10-30 00:00:00+00:00,142.76700000000002,34.754999999999995,1.612,0.8710000000000003,36.367,106.40000000000003,92674400.00000006
2016-10-31 00:00:00+00:00,167.619,9.365,2.009,1.0530000000000002,11.373999999999995,156.245,164525985.00000003
2016-11-01 00:00:00+00:00,145.96000000000004,7.507,2.0730000000000004,0.8110000000000005,9.58,136.38000000000002,110604180.00000009
2016-11-02 00:00:00+00:00,184.96,27.652,1.4179999999999997,0.8370000000000004,29.070000000000004,155.89000000000001,130479930.00000007
2016-11-03 00:00:00+00:00,191.39900000000003,21.537000000000003,1.851,1.1980000000000002,23.388,168.01100000000002,201277178.00000006
2016-11-04 00:00:00+00:00,189.40600000000003,21.608,1.6739999999999997,0.9660000000000004,23.282,166.12400000000002,160475784.0000001
2016-11-05 00:00:00+00:00,164.73800000000006,24.256,1.6639999999999997,0.9310000000000004,25.92,138.81800000000004,129239558.0000001
2016-11-06 00:00:00+00:00,157.59900000000002,21.039,0.995,0.8440000000000002,22.034,135.56500000000003,114416860.00000004
2016-11-07 00:00:00+00:00,200.665,12.952,1.088,1.164,14.04,186.625,217231499.99999997
2016-11-08 00:00:00+00:00,206.617,3.3150000000000004,1.2529999999999997,1.342,4.568,202.04899999999998,271149757.99999994
2016-11-09 00:00:00+00:00,207.244,7.709,1.592,1.1880000000000002,9.301000000000002,197.943,235156284.00000006
2016-11-10 00:00:00+00:00,203.53500000000005,6.961000000000002,1.021,1.2369999999999997,7.982000000000002,195.55300000000005,241899061.0
2016-11-11 00:00:00+00:00,200.94600000000003,4.899,0.974,1.207,5.873,195.07300000000004,235453111.00000006
2016-11-12 00:00:00+00:00,180.201,38.556,0.8860000000000001,0.9770000000000004,39.442,140.759,137521543.00000003
2016-11-13 00:00:00+00:00,169.527,33.052,1.254,0.8950000000000002,34.306,135.221,121022795.00000003
2016-11-14 00:00:00+00:00,206.332,6.029,1.483,1.132,7.512,198.82,225064239.99999997
2016-11-15 00:00:00+00:00,205.552,9.72,1.2019999999999995,0.9330000000000004,10.922,194.63,181589790.0000001
2016-11-16 00:00:00+00:00,202.08499999999995,9.496000000000002,0.995,0.9440000000000004,10.491,191.59399999999994,180864736.00000003
2016-11-17 00:00:00+00:00,199.398,13.193,1.0579999999999998,0.8530000000000002,14.251,185.147,157930391.00000003
2016-11-18 00:00:00+00:00,193.042,23.359,1.356,0.6380000000000001,24.715,168.327,107392626.00000001
2016-11-19 00:00:00+00:00,170.51799999999997,24.209,0.735,0.6810000000000002,24.943999999999992,145.57399999999998,99135894.00000001
2016-11-20 00:00:00+00:00,156.27800000000002,33.791000000000004,1.2299999999999998,0.177,35.021,121.25700000000002,21462489.0
2016-11-21 00:00:00+00:00,190.214,46.60600000000001,1.4760000000000002,0.7930000000000001,48.08200000000001,142.132,112710676.00000001
2016-11-22 00:00:00+00:00,192.71,44.231,1.4549999999999998,0.9600000000000004,45.68599999999999,147.024,141143040.00000006
2016-11-23 00:00:00+00:00,195.184,20.807,1.1999999999999995,1.0690000000000004,22.007,173.177,185126213.00000006
2016-11-24 00:00:00+00:00,195.2,5.605999999999999,1.1639999999999997,0.9440000000000004,6.769999999999999,188.42999999999998,177877920.00000006
2016-11-25 00:00:00+00:00,192.843,2.6149999999999998,0.79,1.0120000000000002,3.405,189.438,191711256.00000003
2016-11-26 00:00:00+00:00,167.01600000000002,8.003999999999998,0.7400000000000001,0.9010000000000002,8.744,158.27200000000002,142603072.00000006
2016-11-27 00:00:00+00:00,156.779,35.735,0.8540000000000001,0.7210000000000003,36.58899999999999,120.19,86656990.00000003
